"Temperature (C)","Humidity (H)","Time"
"21","17","15:24:26"
"21","17","15:24:28"
"21","17","15:24:29"
"21","17","15:24:30"
"21","17","15:24:31"
"21","17","15:24:33"
"21","17","15:24:34"
"22","17","15:24:36"
"21","17","15:24:37"
"21","17","15:24:38"
"22","17","15:24:40"
"21","17","15:24:41"
"22","17","15:24:42"
"21","17","15:24:43"
"22","17","15:24:45"
"22","17","15:24:47"
"22","17","15:24:48"
"22","17","15:24:49"
"22","17","15:24:51"
"21","17","15:24:52"
"22","17","15:24:53"
"22","17","15:24:54"
"22","17","15:24:56"
"22","17","15:24:57"
"22","17","15:24:58"
"22","17","15:25:0"
"22","17","15:25:1"
"22","17","15:25:2"
"22","17","15:25:4"
"22","17","15:25:5"
"22","17","15:25:6"
"22","17","15:25:8"
"22","17","15:25:9"
"22","17","15:25:10"
"22","17","15:25:12"
"22","17","15:25:13"
"22","17","15:25:14"
"22","17","15:25:16"
"22","17","15:25:17"
"22","17","15:25:19"
"22","17","15:25:20"
"22","17","15:25:21"
"22","17","15:25:23"
"22","17","15:25:24"
"22","17","15:25:25"
"22","17","15:25:27"
"22","17","15:25:28"
"22","17","15:25:29"
"22","17","15:25:30"
"22","17","15:25:32"
"22","17","15:25:33"
"22","17","15:25:34"
"22","17","15:25:36"
"22","17","15:25:37"
"22","17","15:25:38"
"22","17","15:25:40"
"22","17","15:25:41"
"22","17","15:25:42"
"22","17","15:25:43"
"22","17","15:25:45"
"22","17","15:25:46"
"22","17","15:25:47"
"22","17","15:25:49"
"22","17","15:25:50"
"22","17","15:25:51"
"22","17","15:25:52"
"22","17","15:25:54"
"22","17","15:25:55"
"22","17","15:25:56"
"22","17","15:25:58"
"22","17","15:25:59"
"22","17","15:26:0"
"22","17","15:26:2"
"22","17","15:26:3"
"22","17","15:26:4"
"22","17","15:26:5"
"22","17","15:26:7"
"22","20","15:26:8"
"22","24","15:26:9"
"22","20","15:26:10"
"22","20","15:26:12"
"22","19","15:26:13"
"22","18","15:26:14"
"22","18","15:26:15"
"22","18","15:26:17"
"22","18","15:26:18"
"22","18","15:26:19"
"22","17","15:26:21"
"22","17","15:26:22"
"22","18","15:26:23"
"22","17","15:26:25"
"22","17","15:26:26"
"22","17","15:26:27"
"22","17","15:26:28"
"22","17","15:26:30"
"22","17","15:26:31"
"22","17","15:26:32"
"22","17","15:26:33"
"22","17","15:26:35"
"22","17","15:26:36"
"22","17","15:26:37"
"22","17","15:26:38"
"22","17","15:26:40"
"22","17","15:26:41"
"22","17","15:26:42"
"22","17","15:26:43"
"22","17","15:26:45"
"22","17","15:26:46"
"22","17","15:26:47"
"22","17","15:26:49"
"22","17","15:26:50"
"22","17","15:26:51"
"22","17","15:26:52"
"22","17","15:26:54"
"22","17","15:26:55"
"22","17","15:26:56"
"22","17","15:26:57"
"22","17","15:26:59"
"22","17","15:27:0"
"22","17","15:27:1"
"22","17","15:27:2"
"22","17","15:27:4"
"22","17","15:27:5"
"22","17","15:27:7"
"22","17","15:27:8"
"22","17","15:27:9"
"22","17","15:27:11"
"22","17","15:27:12"
"22","17","15:27:13"
"22","17","15:27:15"
"22","17","15:27:17"
"22","17","15:27:18"
"22","17","15:27:19"
"22","17","15:27:21"
"22","17","15:27:22"
"22","17","15:27:23"
"22","17","15:27:25"
"22","17","15:27:26"
"22","17","15:27:27"
"22","17","15:27:28"
"22","17","15:27:30"
"22","17","15:27:31"
"22","17","15:27:32"
"22","17","15:27:33"
"22","17","15:27:35"
"22","17","15:27:36"
"22","17","15:27:37"
"22","17","15:27:38"
"22","17","15:27:40"
"22","17","15:27:41"
"22","17","15:27:42"
"22","17","15:27:44"
"22","17","15:27:45"
"22","17","15:27:46"
"22","17","15:27:47"
"22","17","15:27:49"
"22","17","15:27:50"
"22","17","15:27:51"
"22","17","15:27:52"
"22","17","15:27:54"
"22","17","15:27:55"
"22","17","15:27:56"
"22","17","15:27:57"
"22","17","15:27:59"
"22","17","15:28:0"
"22","17","15:28:1"
"22","17","15:28:2"
"22","17","15:28:4"
"22","17","15:28:5"
"22","17","15:28:6"
"22","17","15:28:8"
"22","17","15:28:9"
"22","17","15:28:10"
"22","17","15:28:11"
"22","17","15:28:13"
"22","17","15:28:14"
"22","17","15:28:15"
"22","17","15:28:16"
"22","17","15:28:18"
"22","17","15:28:19"
"22","17","15:28:20"
"22","17","15:28:21"
"22","17","15:28:23"
"22","17","15:28:24"
"22","17","15:28:25"
"22","17","15:28:27"
"22","17","15:28:28"
"22","17","15:28:29"
"22","17","15:28:30"
"22","17","15:28:32"
"22","17","15:28:33"
"22","17","15:28:34"
"22","17","15:28:36"
"22","17","15:28:37"
"22","17","15:28:38"
"22","17","15:28:39"
"22","17","15:28:41"
"22","17","15:28:42"
"22","17","15:28:43"
"22","17","15:28:44"
"22","17","15:28:46"
"22","17","15:28:47"
"22","17","15:28:48"
"22","17","15:28:49"
"22","17","15:28:51"
"22","17","15:28:52"
"22","17","15:28:53"
"22","17","15:28:54"
"22","17","15:28:56"
"22","17","15:28:57"
"22","17","15:28:58"
"22","17","15:28:59"
"22","17","15:29:1"
"22","17","15:29:2"
"22","17","15:29:3"
"22","17","15:29:5"
"22","17","15:29:6"
"22","17","15:29:7"
"22","17","15:29:8"
"22","17","15:29:10"
"22","17","15:29:11"
"22","17","15:29:12"
"22","17","15:29:13"
"22","17","15:29:15"
"22","17","15:29:16"
"22","17","15:29:17"
"22","17","15:29:18"
"22","17","15:29:20"
"22","17","15:29:21"
"22","17","15:29:22"
"22","17","15:29:24"
"22","17","15:29:25"
"22","17","15:29:26"
"22","17","15:29:27"
"22","17","15:29:29"
"22","17","15:29:30"
"22","17","15:29:31"
"22","17","15:29:32"
"22","17","15:29:34"
"22","17","15:29:35"
"22","17","15:29:36"
"22","17","15:29:37"
"22","17","15:29:39"
"22","17","15:29:40"
"22","17","15:29:41"
"22","17","15:29:42"
"22","17","15:29:44"
"22","17","15:29:45"
"22","17","15:29:46"
"22","17","15:29:47"
"22","17","15:29:49"
"22","17","15:29:50"
"22","17","15:29:51"
"22","17","15:29:53"
"22","17","15:29:54"
"22","17","15:29:55"
"22","17","15:29:57"
"22","17","15:29:58"
"22","17","15:29:59"
"22","17","15:30:0"
"22","17","15:30:2"
"22","17","15:30:3"
"22","17","15:30:4"
"22","17","15:30:5"
"22","17","15:30:7"
"22","17","15:30:8"
"22","17","15:30:9"
"22","17","15:30:10"
"22","17","15:30:12"
"22","17","15:30:13"
"22","17","15:30:14"
"22","17","15:30:15"
"22","17","15:30:17"
"22","17","15:30:18"
"22","17","15:30:19"
"22","17","15:30:20"
"22","17","15:30:22"
"22","17","15:30:23"
"22","17","15:30:24"
"22","17","15:30:26"
"22","17","15:30:27"
"22","17","15:30:28"
"22","17","15:30:29"
"22","17","15:30:31"
"22","17","15:30:32"
"22","17","15:30:33"
"22","17","15:30:34"
"22","17","15:30:36"
"22","17","15:30:37"
"22","17","15:30:38"
"22","17","15:30:39"
"22","17","15:30:41"
"22","17","15:30:42"
"22","17","15:30:43"
"22","17","15:30:44"
"22","17","15:30:46"
"22","17","15:30:47"
"22","17","15:30:48"
"22","17","15:30:49"
"22","17","15:30:51"
"22","17","15:30:52"
"22","17","15:30:53"
"22","17","15:30:55"
"22","17","15:30:56"
"22","17","15:30:57"
"22","17","15:30:58"
"22","17","15:31:0"
"22","17","15:31:1"
"22","17","15:31:2"
"22","17","15:31:3"
"22","17","15:31:5"
"22","17","15:31:6"
"22","17","15:31:7"
"22","17","15:31:8"
"22","17","15:31:10"
"22","17","15:31:11"
"22","17","15:31:12"
"22","17","15:31:13"
"22","17","15:31:15"
"22","17","15:31:16"
"22","17","15:31:17"
"22","17","15:31:19"
"22","17","15:31:20"
"22","17","15:31:21"
"22","17","15:31:22"
"22","17","15:31:24"
"22","17","15:31:25"
"22","17","15:31:26"
"22","17","15:31:27"
"22","17","15:31:29"
"22","17","15:31:30"
"22","17","15:31:31"
"22","17","15:31:32"
"22","17","15:31:34"
"22","17","15:31:35"
"22","17","15:31:36"
"22","17","15:31:37"
"22","17","15:31:39"
"22","17","15:31:40"
"22","17","15:31:41"
"22","17","15:31:43"
"22","17","15:31:44"
"22","17","15:31:45"
"22","17","15:31:46"
"22","17","15:31:48"
"22","17","15:31:49"
"22","17","15:31:50"
"22","17","15:31:52"
"22","17","15:31:53"
"22","17","15:31:54"
"22","17","15:31:55"
"22","17","15:31:57"
"22","17","15:31:58"
"22","17","15:31:59"
"22","17","15:32:1"
"22","17","15:32:2"
"22","17","15:32:3"
"22","17","15:32:4"
"22","17","15:32:6"
"22","17","15:32:7"
"22","17","15:32:8"
"22","17","15:32:9"
"22","17","15:32:11"
"22","17","15:32:12"
"22","17","15:32:13"
"22","17","15:32:15"
"22","17","15:32:16"
"22","17","15:32:17"
"22","17","15:32:18"
"22","17","15:32:20"
"22","17","15:32:21"
"22","17","15:32:22"
"22","17","15:32:24"
"22","17","15:32:25"
"22","17","15:32:26"
"22","17","15:32:27"
"22","17","15:32:29"
"22","17","15:32:30"
"22","17","15:32:31"
"22","17","15:32:32"
"22","17","15:32:34"
"22","17","15:32:35"
"22","17","15:32:36"
"22","17","15:32:37"
"22","17","15:32:39"
"22","17","15:32:40"
"22","17","15:32:41"
"22","17","15:32:42"
"22","17","15:32:44"
"22","17","15:32:45"
"22","17","15:32:46"
"22","17","15:32:47"
"22","17","15:32:49"
"22","17","15:32:50"
"22","17","15:32:51"
"22","17","15:32:52"
"22","17","15:32:54"
"22","17","15:32:55"
"22","17","15:32:56"
"22","17","15:32:58"
"22","17","15:32:59"
"22","17","15:33:0"
"22","17","15:33:1"
"22","17","15:33:3"
"22","17","15:33:4"
"22","17","15:33:5"
"22","17","15:33:6"
"22","17","15:33:8"
"22","17","15:33:9"
"22","17","15:33:10"
"22","17","15:33:11"
"22","17","15:33:13"
"22","17","15:33:14"
"22","17","15:33:15"
"22","17","15:33:16"
"22","17","15:33:18"
"22","17","15:33:19"
"22","17","15:33:20"
"22","17","15:33:21"
"22","17","15:33:23"
"22","17","15:33:24"
"22","17","15:33:25"
"22","17","15:33:27"
"22","17","15:33:28"
"22","17","15:33:29"
"22","17","15:33:30"
"22","17","15:33:32"
"22","17","15:33:33"
"22","17","15:33:34"
"22","17","15:33:35"
"22","17","15:33:37"
"22","17","15:33:38"
"22","17","15:33:39"
"22","17","15:33:40"
"22","17","15:33:42"
"22","17","15:33:43"
"22","17","15:33:44"
"22","17","15:33:45"
"22","17","15:33:47"
"22","17","15:33:48"
"22","17","15:33:49"
"22","17","15:33:51"
"22","17","15:33:52"
"22","17","15:33:53"
"22","17","15:33:54"
"22","17","15:33:56"
"22","17","15:33:57"
"22","17","15:33:58"
"22","17","15:33:59"
"22","17","15:34:1"
"22","17","15:34:2"
"23","16","15:34:3"
"22","17","15:34:4"
"23","16","15:34:6"
"23","16","15:34:7"
"23","16","15:34:8"
"22","17","15:34:10"
"23","16","15:34:11"
"23","16","15:34:12"
"22","17","15:34:14"
"23","16","15:34:15"
"23","16","15:34:16"
"22","17","15:34:17"
"22","17","15:34:19"
"23","16","15:34:20"
"22","17","15:34:21"
"23","16","15:34:22"
"23","16","15:34:24"
"23","16","15:34:25"
"23","16","15:34:26"
"23","16","15:34:27"
"23","16","15:34:29"
"23","16","15:34:30"
"23","16","15:34:31"
"23","16","15:34:32"
"23","16","15:34:34"
"23","16","15:34:35"
"23","16","15:34:36"
"23","16","15:34:37"
"23","16","15:34:39"
"23","16","15:34:40"
"23","16","15:34:41"
"23","16","15:34:42"
"23","16","15:34:44"
"23","16","15:34:45"
"23","16","15:34:46"
"23","16","15:34:48"
"23","16","15:34:49"
"23","16","15:34:50"
"23","16","15:34:52"
"23","16","15:34:53"
"23","16","15:34:54"
"23","16","15:34:55"
"23","16","15:34:57"
"23","16","15:34:58"
"23","16","15:34:59"
"23","16","15:35:0"
"23","16","15:35:2"
"23","16","15:35:3"
"23","16","15:35:4"
"23","16","15:35:5"
"23","16","15:35:7"
"23","16","15:35:8"
"23","17","15:35:9"
"23","19","15:35:11"
"23","30","15:35:12"
"23","40","15:35:13"
"24","44","15:35:14"
"24","46","15:35:15"
"24","45","15:35:17"
"24","47","15:35:18"
"24","45","15:35:19"
"24","44","15:35:20"
"24","43","15:35:21"
"24","45","15:35:22"
"24","47","15:35:24"
"24","46","15:35:25"
"24","47","15:35:26"
"24","45","15:35:27"
"25","43","15:35:28"
"25","42","15:35:29"
"25","40","15:35:31"
"25","39","15:35:32"
"25","35","15:35:33"
"25","31","15:35:34"
"25","29","15:35:35"
"25","29","15:35:37"
"25","24","15:35:38"
"25","17","15:35:39"
"25","18","15:35:40"
"25","18","15:35:42"
"25","18","15:35:43"
"25","18","15:35:44"
"25","18","15:35:45"
"25","17","15:35:47"
"25","17","15:35:48"
"25","17","15:35:49"
"25","17","15:35:50"
"25","17","15:35:51"
"25","17","15:35:53"
"25","17","15:35:54"
"25","17","15:35:55"
"25","17","15:35:56"
"25","17","15:35:58"
"25","16","15:35:59"
"25","16","15:36:0"
"25","16","15:36:1"
"25","16","15:36:3"
"25","16","15:36:4"
"25","16","15:36:5"
"25","16","15:36:6"
"25","16","15:36:8"
"25","16","15:36:9"
"25","16","15:36:10"
"25","16","15:36:11"
"25","16","15:36:13"
"26","16","15:36:14"
"26","18","15:36:15"
"26","33","15:36:16"
"26","41","15:36:17"
"26","44","15:36:19"
"26","43","15:36:20"
"27","45","15:36:21"
"27","45","15:36:22"
"27","45","15:36:23"
"27","46","15:36:24"
"27","46","15:36:26"
"27","46","15:36:27"
"27","46","15:36:28"
"27","43","15:36:29"
"27","43","15:36:30"
"27","45","15:36:32"
"27","44","15:36:33"
"27","37","15:36:34"
"27","41","15:36:35"
"27","41","15:36:36"
"27","41","15:36:38"
"27","41","15:36:39"
"27","42","15:36:40"
"27","44","15:36:41"
"27","45","15:36:42"
"28","46","15:36:43"
"28","47","15:36:45"
"28","41","15:36:46"
"28","46","15:36:47"
"28","46","15:36:48"
"28","45","15:36:50"
"28","44","15:36:51"
"28","43","15:36:52"
"28","42","15:36:53"
"28","28","15:36:55"
"28","39","15:36:56"
"28","41","15:36:57"
"28","33","15:36:58"
"28","42","15:36:59"
"28","43","15:37:1"
"28","46","15:37:2"
"28","47","15:37:3"
"29","40","15:37:4"
"29","36","15:37:5"
"29","30","15:37:7"
"29","16","15:37:9"
"29","30","15:37:10"
"29","30","15:37:11"
"29","28","15:37:12"
"29","27","15:37:14"
"29","22","15:37:15"
"29","15","15:37:16"
"29","14","15:37:18"
"29","16","15:37:19"
"28","15","15:37:20"
"28","17","15:37:22"
"28","15","15:37:23"
"28","16","15:37:24"
"28","16","15:37:25"
"28","16","15:37:27"
"28","16","15:37:28"
"28","15","15:37:29"
"28","17","15:37:31"
"28","30","15:37:32"
"28","34","15:37:33"
"28","31","15:37:34"
"28","28","15:37:35"
"28","20","15:37:37"
"29","16","15:37:38"
"29","16","15:37:39"
"28","17","15:37:40"
"28","17","15:37:41"
"28","15","15:37:43"
"28","16","15:37:44"
"28","16","15:37:45"
"28","15","15:37:47"
"28","15","15:37:48"
"28","15","15:37:49"
"28","15","15:37:50"
"28","15","15:37:52"
"28","14","15:37:53"
"28","15","15:37:54"
"28","15","15:37:56"
"28","15","15:37:57"
"28","15","15:37:58"
"28","15","15:37:59"
"28","15","15:38:1"
"28","15","15:38:2"
"28","15","15:38:3"
"28","14","15:38:5"
"28","14","15:38:6"
"28","14","15:38:7"
"28","14","15:38:9"
"28","14","15:38:10"
"28","14","15:38:11"
"28","14","15:38:13"
"28","14","15:38:14"
"27","14","15:38:16"
"27","14","15:38:17"
"27","14","15:38:20"
"27","14","15:38:21"
"27","14","15:38:23"
"27","14","15:38:25"
"27","14","15:38:27"
"27","14","15:38:28"
"27","14","15:38:30"
"27","14","15:38:31"
"27","14","15:38:32"
"27","14","15:38:33"
"27","14","15:38:35"
"27","14","15:38:36"
"27","14","15:38:37"
"27","14","15:38:39"
"27","14","15:38:40"
"27","14","15:38:42"
"27","14","15:38:43"
"27","14","15:38:44"
"27","14","15:38:45"
"27","14","15:38:47"
"27","14","15:38:48"
"27","14","15:38:49"
"27","14","15:38:50"
"27","14","15:38:52"
"27","14","15:38:53"
"27","14","15:38:54"
"27","14","15:38:55"
"27","14","15:38:57"
"26","15","15:38:58"
"26","15","15:38:59"
"26","15","15:39:1"
"26","15","15:39:2"
"26","15","15:39:3"
"26","15","15:39:4"
"26","15","15:39:6"
"26","15","15:39:7"
"26","15","15:39:8"
"26","15","15:39:9"
"26","15","15:39:11"
"26","15","15:39:12"
"26","15","15:39:13"
"26","15","15:39:14"
"26","15","15:39:16"
"26","15","15:39:17"
"26","15","15:39:18"
"26","15","15:39:19"
"26","15","15:39:21"
"26","15","15:39:22"
"25","15","15:39:23"
"25","15","15:39:25"
"25","15","15:39:26"
"25","15","15:39:27"
"25","15","15:39:28"
"25","15","15:39:30"
"25","15","15:39:31"
"25","15","15:39:32"
"25","15","15:39:33"
"25","15","15:39:35"
"25","15","15:39:36"
"25","15","15:39:37"
"25","15","15:39:38"
"25","15","15:39:40"
"25","15","15:39:41"
"25","15","15:39:42"
"25","15","15:39:44"
"25","15","15:39:45"
"25","15","15:39:46"
"25","15","15:39:47"
"25","15","15:39:49"
"25","15","15:39:50"
"25","15","15:39:51"
"25","15","15:39:53"
"25","15","15:39:54"
"25","15","15:39:55"
"25","15","15:39:57"
"25","15","15:39:58"
"25","15","15:40:0"
"25","15","15:40:1"
"25","15","15:40:3"
"25","15","15:40:5"
"25","15","15:40:6"
"25","15","15:40:7"
"25","15","15:40:9"
"25","15","15:40:12"
"25","15","15:40:14"
"25","15","15:40:16"
"25","15","15:40:18"
"25","15","15:40:19"
"25","15","15:40:21"
"24","16","15:40:22"
"24","16","15:40:24"
"24","16","15:40:25"
"24","16","15:40:27"
"24","16","15:40:28"
"24","16","15:40:29"
"24","16","15:40:31"
"24","16","15:40:32"
"24","16","15:40:34"
"24","16","15:40:35"
"24","16","15:40:36"
"24","16","15:40:37"
"24","16","15:40:39"
"24","16","15:40:40"
"24","16","15:40:41"
"24","16","15:40:43"
"24","16","15:40:44"
"24","16","15:40:45"
"24","16","15:40:47"
"24","16","15:40:48"
"24","16","15:40:49"
